Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,Configuration settings window,CW-19,"Enabling Wifi Check-in 
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX-> Enable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-20,"Disabling Wifi Check-in 
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX-> Disable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-21,"Enabling Wifi Check-in 
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX-> Enable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-22,"Disabling Wifi Check-in 
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX-> Disable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-23,"Enabling Wifi Check-in 
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi TCP-> Enable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-24,"Disabling Wifi Check-in 
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi TCP-> Disable Wi-fi Check-in -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-25,Disabling and Enabled Front Panel Display,None,TBD,TBD,We have same other scenario ,,,,,,TRD-CFGWND-155,,
,Positive,Configuration settings window,CW-26,Enabling a Disabled Front Panel Display,None,TBD,TBD,We have same other scenario ,,,,,,TRD-CFGWND-157,,
,Positive,Configuration settings window,CW-27,Setting Display On,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Check Display On/Off -> Save Configuration ",User should able to enable display and same should be reflect in the sensor,,,,PASS,,,,,
,Positive,Configuration settings window,CW-28,Setting Display Off,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Uncheck Display On/Off -> Save Configuration ",User should able to disable display and same should be reflect in the sensor,,,,PASS,,,,,
,Positive,Configuration settings window,CW-29,Setting Display Rotation to Actual,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Check Display On/Off -> Choose Display rotation as Actual -> Save Configuration ",User should able to set display rotation as Actual and default display should be reflect in sensor,,,,FAIL,Display is 180 degree,,,,
,Positive,Configuration settings window,CW-30,Setting Display Rotation to 180 degree,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Check Display On/Off -> Choose Display rotation as 180 degree -> Save Configuration ",User should able to set display rotation to 180 degree and same should be reflect in the sensor,,,,FAIL,Display is Actual,,,,
,Positive,Configuration settings window,CW-31,Setting Display Rotation to 90 degree left,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Check Display On/Off -> Choose Display rotation as 90 degree left -> Save Configuration ",User should able to set display rotation to 90 degree left and same should be reflect in the sensor,,,,PASS,,,,,
,Positive,Configuration settings window,CW-32,Setting Display Rotation to 90 degree right,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Check Display On/Off -> Choose Display rotation as 90 degree right -> Save Configuration ",User should able to set display rotation to 90 degree right and same should be reflect in the sensor,,,,PASS,,,,,
,Positive,Configuration settings window,CW-33,Setting Probe Selection to Probe 1,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 under Probe selection -> Save Configuration ","Should able to configure only Probe 1, Probe 2 should be disabled",,,,PASS,,,,,
,Negative,Configuration settings window,CW-34,Setting Probe Selection to Probe 1,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 under Probe selection -> Save Configuration -> Try to edit Probe 2 ",Should not able to configure Probe 2,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CW-35,Setting Probe Selection to Probe 2,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 under Probe selection -> Save Configuration ","Should able to configure only Probe 2, Probe 1 should be disabled",,,,PASS,,,PASS,,
,Negative,Configuration settings window,CW-36,Setting Probe Selection to Probe 2,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 under Probe selection -> Save Configuration -> Try to edit Probe 1 ",Should not able to configure Probe 1,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CW-37,Setting Probe Selection to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe selection -> Save Configuration ",Should able to configure both the probes,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CMR-01,"Setting Measurement rate = 30 sec
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz -> Choose Measurement rate as 30 sec -> Save Configuration ","Measured temperature will be update in the display, once in every 30 sec",,,,PASS,,,,,
,Positive,Configuration settings window,CMR-02,"Setting Measurement rate = 1 min
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Measurement rate as 1 min -> Save Configuration ","Measured temperature will be update in the display, once in every 1 min",,,,PASS,,,,,
,Positive,Configuration settings window,CMR-03,"Setting Measurement rate = 2 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz -> Choose Measurement rate as 2 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 2 mins",,,,PASS,,,,,
,Positive,Configuration settings window,CMR-04,"Setting Measurement rate = 3 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Measurement rate as 3 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 3 mins",,,,PARTIAL,Getting measured temp value withing 2 min 20 sec,,,,
,Positive,Configuration settings window,CMR-05,"Setting Measurement rate = 5 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz -> Choose Measurement rate as 5 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 5 mins",,,,PARTIAL,Getting measured temp value withing 3 min,,,,
,Positive,Configuration settings window,CMR-06,"Setting Measurement rate = 30 sec
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Measurement rate as 30 sec -> Save Configuration ","Measured temperature will be update in the display, once in every 30 sec",,,,,,,,,
,Positive,Configuration settings window,CMR-07,"Setting Measurement rate = 1 min
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX-> Choose Measurement rate as 1 min -> Save Configuration ","Measured temperature will be update in the display, once in every 1 min",,,,,,,,,
,Positive,Configuration settings window,CMR-08,"Setting Measurement rate = 2 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX-> Choose Measurement rate as 2 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 2 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-09,"Setting Measurement rate = 3 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Measurement rate as 3 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 3 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-10,"Setting Measurement rate = 5 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Measurement rate as 5 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 5 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-11,"Setting Measurement rate = 30 sec
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Measurement rate as 30 sec -> Save Configuration ","Measured temperature will be update in the display, once in every 30 sec",,,,,,,,,
,Positive,Configuration settings window,CMR-12,"Setting Measurement rate = 1 min
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX-> Choose Measurement rate as 1 min -> Save Configuration ","Measured temperature will be update in the display, once in every 1 min",,,,,,,,,
,Positive,Configuration settings window,CMR-13,"Setting Measurement rate = 2 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX-> Choose Measurement rate as 2 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 2 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-14,"Setting Measurement rate = 3 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Measurement rate as 3 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 3 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-15,"Setting Measurement rate = 5 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Measurement rate as 5 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 5 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-16,"Setting Measurement rate = 30 sec
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Measurement rate as 30 sec -> Save Configuration ","Measured temperature will be update in the display, once in every 30 sec",,,,,,,,,
,Positive,Configuration settings window,CMR-17,"Setting Measurement rate = 1 min
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP-> Choose Measurement rate as 1 min -> Save Configuration ","Measured temperature will be update in the display, once in every 1 min",,,,,,,,,
,Positive,Configuration settings window,CMR-18,"Setting Measurement rate = 2 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP-> Choose Measurement rate as 2 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 2 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-19,"Setting Measurement rate = 3 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Measurement rate as 3 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 3 mins",,,,,,,,,
,Positive,Configuration settings window,CMR-20,"Setting Measurement rate = 5 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Measurement rate as 5 mins -> Save Configuration ","Measured temperature will be update in the display, once in every 5 mins",,,,,,,,,
,Positive,Configuration settings window,CRR-01,"Setting Report rate = 1 min
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 1 min -> Save Configuration ",Sensor should report status for every 1 min,,,,,If the tag is in alert state then it will send location data based on the configured Measurement rate instead of Report rate.,,PASS,,
,Positive,Configuration settings window,CRR-02,"Setting Report rate = 5 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 5 mins -> Save Configuration ",Sensor should report status for every 5 mins,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-03,"Setting Report rate = 10 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 10 mins -> Save Configuration ",Sensor should report status for every 10 mins,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-04,"Setting Report rate = 15 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 15 mins -> Save Configuration ",Sensor should report status for every 15 mins,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-05,"Setting Report rate = 30 mins
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 30 mins -> Save Configuration ",Sensor should report status for every 30 mins,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-06,"Setting Report rate = 1 hr
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as 900 MHz-> Choose Report rate as 1 hr -> Save Configuration ",Sensor should report status for every 1 hour,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-07,"Setting Report rate = 1 min
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX-> Choose Report rate as 1 min -> Save Configuration ",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-08,"Setting Report rate = 5 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX-> Choose Report rate as 5 mins -> Save Configuration ",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CRR-09,"Setting Report rate = 10 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX-> Choose Report rate as 10 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-10,"Setting Report rate = 15 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Report rate as 15 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-11,"Setting Report rate = 30 mins
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Report rate as 30 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-12,"Setting Report rate = 1 hr
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi CCX -> Choose Report rate as 1 hr -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-13,"Setting Report rate = 1 min
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX-> Choose Report rate as 1 min -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-14,"Setting Report rate = 5 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX-> Choose Report rate as 5 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-15,"Setting Report rate = 10 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX-> Choose Report rate as 10 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-16,"Setting Report rate = 15 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Report rate as 15 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-17,"Setting Report rate = 30 mins
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Report rate as 30 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-18,"Setting Report rate = 1 hr
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi ACX -> Choose Report rate as 1 hr -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-19,"Setting Report rate = 1 min
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP-> Choose Report rate as 1 min -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-20,"Setting Report rate = 5 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Report rate as 5 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-21,"Setting Report rate = 10 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Report rate as 10 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-22,"Setting Report rate = 15 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Report rate as 15 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-23,"Setting Report rate = 30 mins
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Report rate as 30 mins -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CRR-24,"Setting Report rate = 1 hr
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Communication mode as Wifi TCP -> Choose Report rate as 1 hr -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CPR-01,Setting P1 sensor to CDI when Probe selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Set CDI to Probe 1  -> Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-02,Setting P1 sensor to CDI when Probe selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Set CDI to Probe 1 -> Save Configuration",TBD,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-03,Setting P1 sensor to CDI when Probe selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Try to set CDI to Probe 1 ",Should not able to set CDI to Probe 1.,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-04,Setting P2 sensor to CDI when Probe selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Set CDI to Probe 2  -> Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-05,Setting P2 sensor to CDI when Probe selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Set CDI to Probe 2 -> Save Configuration",TBD,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-06,Setting P2 sensor to CDI when Probe selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Try to set CDI to Probe 2",Should not able to set CDI to Probe 2.,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-07,Setting Probe 1 Configuration to Temperature when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",User should able to set Temperature as configurartion when Probe selction is set to Probe 1,,,,,,,PASS,CDI - Type of temperature measurement sensor,
,Positive,Configuration settings window,CPR-08,Setting Probe 1 Configuration to Temperature when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",User should able to set Temperature as configurartion when Probe selction is set to Both probes,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-09,Setting Probe 1 Configuration to Temperature when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",Should not able to set Configuration for Probe 1,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-10,Setting Probe 1 Configuration to Door Ajar when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",User should able to set Door Ajar as configurartion when Probe selction is set to Probe 1,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-11,Setting Probe 1 Configuration to Door Ajar when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",User should able to set Door Ajar as configurartion when Probe selction is set to Both probes,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-12,Setting Probe 1 Configuration to Door Ajar when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",Should not able to set Configuration for Probe 1,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-13,Setting Probe 2 Configuration to Temperature when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",User should able to set Temperature as configurartion when Probe selction is set to Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-14,Setting Probe 2 Configuration to Temperature when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",User should able to set Temperature as configurartion when Probe selction is set to Both probes,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-15,Setting Probe 2 Configuration to Temperature when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Temperature under Configuration -> Save Configuration",Should not able to set Configuration for Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-16,Setting Probe 2 Configuration to Door Ajar when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",User should able to set Door ajar as configurartion when Probe selction is set to Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-17,Setting Probe 2 Configuration to Door Ajar when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",User should able to set Door ajar as configurartion when Probe selction is set to Both probes,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-18,Setting Probe 2 Configuration to Door Ajar when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Door Ajar under Configuration -> Save Configuration",Should not able to set Configuration for Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-19,Setting Probe 1 units to Celsius  when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Celsius - >Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-20,Setting Probe 1 units to Celsius  when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Celsius - >Save Configuration",TBD,,,,,,,PASS,,
